cp,munipio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
44025,Andorra,55,77,45,70,80,78,59,61,71,78,61,71,63,73,57,73,81,80,74
44026,Arcos de las Salinas,0,3,0,1,1,1,0,0,1,1,2,0,1,1,1,0,1,0,0
44027,Arens de Lledó,2,1,2,0,0,0,0,1,0,2,1,1,2,0,2,3,1,1,0
44028,Argente,1,1,0,2,0,1,1,3,0,1,2,0,1,2,3,1,1,2,0
44029,Ariño,3,3,5,7,4,5,5,6,3,6,7,6,5,7,6,5,8,6,4
44031,Azaila,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
44032,Bádenas,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44033,Báguena,2,1,0,0,1,3,1,1,2,0,1,2,1,1,3,1,6,0,0
44034,Bañón,0,2,1,1,1,3,0,0,1,0,0,1,0,2,1,0,1,1,0
44035,Barrachina,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,2,0
44036,Bea,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
44037,Beceite,0,2,6,5,6,1,4,4,5,8,4,2,3,3,2,4,6,2,5
44038,Belmonte de San José,1,2,0,0,0,0,0,0,0,2,0,0,0,1,2,1,1,1,0
44039,Bello,1,0,0,0,0,2,0,0,1,1,0,0,2,2,3,0,3,0,1
44040,Berge,1,2,7,0,0,4,1,1,2,1,3,1,2,3,5,1,2,2,4
44041,Bezas,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,1
44042,Blancas,0,0,0,1,0,0,2,1,1,0,0,1,0,0,1,1,1,1,1
44043,Blesa,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
44044,Bordón,0,0,2,2,0,2,3,0,1,1,1,0,1,0,1,2,1,1,1
44045,Bronchales,3,3,1,3,2,2,3,3,1,5,3,2,3,2,3,3,3,0,1
44046,Bueña,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0
44047,Burbáguena,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,2,1,2,2
44048,Cabra de Mora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44049,Calaceite,6,8,9,9,4,13,6,5,12,3,6,4,4,5,8,9,7,5,7
44050,Calamocha,31,47,32,40,40,42,43,47,48,52,44,48,47,40,47,38,47,37,51
44051,Calanda,24,19,28,33,32,27,37,27,31,35,31,27,26,30,32,40,41,36,23
44052,Calomarde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44053,Camañas,0,0,1,0,0,1,1,0,1,0,4,1,2,1,4,1,2,0,1
44054,Camarena de la Sierra,1,0,2,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0
44055,Camarillas,2,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,2,0
44056,Caminreal,5,3,1,3,3,1,7,9,2,5,3,3,6,7,3,5,1,6,3
44059,Cantavieja,5,2,5,13,6,8,5,11,9,7,5,5,5,8,6,6,5,10,5
44060,Cañada de Benatanduz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44061,Cañada de Verich La,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,3,3,1
44062,Cañada Vellida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44063,Cañizar del Olivar,0,3,2,1,1,1,1,3,1,0,0,0,2,0,1,1,1,0,0
44064,Cascante del Río,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
44065,Castejón de Tornos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44066,Castel de Cabra,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1
44067,Castelnou,1,6,2,3,0,4,2,0,3,2,3,0,0,1,1,1,0,1,1
44068,Castelserás,12,3,3,12,9,7,11,5,9,9,6,12,9,10,6,9,4,9,9
44070,Castellar El,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44071,Castellote,0,3,2,2,4,1,6,1,4,5,6,4,5,4,2,1,2,2,6
44074,Cedrillas,7,6,8,3,7,2,6,2,4,6,10,4,10,7,7,7,7,9,3
44075,Celadas,0,4,3,2,2,2,1,1,1,4,1,3,2,6,5,1,4,3,8
44076,Cella,19,22,17,15,16,21,27,14,19,19,23,25,29,15,21,14,16,28,12
44077,Cerollera La,0,2,0,1,0,0,1,1,1,2,1,1,0,1,1,0,1,1,0
44080,Codoñera La,1,2,0,2,1,2,2,1,3,7,5,2,3,2,0,0,1,3,3
44082,Corbalán,1,2,1,0,1,1,2,0,0,2,1,0,1,0,1,0,0,2,3
44084,Cortes de Aragón,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
44085,Cosa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44086,Cretas,3,3,4,3,4,6,8,5,5,3,8,5,5,7,5,1,2,4,0
44087,Crivillén,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44088,Cuba La,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
44089,Cubla,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
44090,Cucalón,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,0,0
44092,Cuervo El,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,1
44093,Cuevas de Almudén,2,1,0,1,3,0,1,2,1,1,0,2,0,1,2,0,1,1,2
44094,Cuevas Labradas,0,0,3,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
44096,Ejulve,1,0,0,2,0,0,0,0,0,1,1,0,1,2,0,1,1,0,1
44097,Escorihuela,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44099,Escucha,9,8,14,6,7,6,9,9,6,7,6,9,7,8,9,4,13,5,10
44100,Estercuel,0,0,1,0,2,1,0,2,4,1,1,0,0,2,1,1,1,1,0
44101,Ferreruela de Huerva,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
44102,Fonfría,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44103,Formiche Alto,0,1,1,0,0,0,1,0,0,1,1,0,0,2,2,1,1,4,4
44105,Fórnoles,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44106,Fortanete,2,1,2,4,2,1,2,3,2,2,5,0,1,1,0,1,2,1,4
44107,Foz-Calanda,1,0,1,2,1,1,2,2,1,2,1,3,3,1,1,2,2,3,4
44108,Fresneda La,1,1,5,3,5,1,3,2,4,3,3,1,5,5,4,2,4,6,2
44109,Frías de Albarracín,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0
44110,Fuenferrada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44111,Fuentes Calientes,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
44112,Fuentes Claras,3,1,4,0,2,6,1,1,2,2,2,4,0,1,4,0,3,3,6
44113,Fuentes de Rubielos,3,1,0,0,1,1,2,0,3,1,1,3,1,2,2,2,1,1,1
44114,Fuentespalda,1,1,3,0,1,2,0,1,1,0,3,3,0,3,3,1,2,1,2
44115,Galve,1,0,0,0,2,2,3,1,2,4,2,2,1,4,1,1,7,0,1
44116,Gargallo,0,1,0,1,2,0,0,1,0,0,1,0,1,0,1,1,1,1,2
44117,Gea de Albarracín,2,3,2,2,2,2,1,1,1,3,2,1,0,5,3,0,2,5,0
44118,Ginebrosa La,0,3,1,1,1,0,4,1,4,2,2,3,1,1,0,2,2,2,0
44119,Griegos,0,0,0,2,0,4,0,2,1,0,1,0,1,0,0,0,1,0,0
44120,Guadalaviar,0,3,1,2,1,3,0,1,0,0,2,0,0,2,1,0,1,3,3
44121,Gúdar,0,1,1,0,1,1,1,2,1,1,0,0,0,2,0,1,0,1,0
44122,Híjar,18,10,9,16,14,14,11,13,19,17,11,17,15,12,25,10,16,19,13
44123,Hinojosa de Jarque,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
44124,Hoz de la Vieja La,0,0,1,2,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0
44125,Huesa del Común,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
44126,Iglesuela del Cid La,1,2,2,4,0,1,4,1,2,3,5,3,3,4,6,3,6,3,4
44127,Jabaloyas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44128,Jarque de la Val,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0
44129,Jatiel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44130,Jorcas,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
44131,Josa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44132,Lagueruela,0,1,2,0,0,0,1,0,2,1,1,0,0,1,1,0,0,0,0
44133,Lanzuela,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
44135,Libros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44136,Lidón,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
44137,Linares de Mora,3,3,0,2,1,2,2,0,1,0,0,5,0,0,3,1,2,1,1
44138,Loscos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2
44141,Lledó,0,2,0,2,4,1,3,1,2,4,1,0,0,0,1,0,1,0,1
44142,Maicas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44143,Manzanera,1,6,5,1,5,3,1,4,5,3,4,5,4,6,1,6,5,7,10
44144,Martín del Río,1,5,2,2,3,0,2,3,5,2,5,2,6,4,4,9,4,2,5
44145,Mas de las Matas,7,7,8,15,13,12,6,10,10,8,8,9,15,7,8,11,6,9,10
44146,Mata de los Olmos La,0,3,4,2,4,3,2,1,2,4,3,2,3,2,4,4,1,4,2
44147,Mazaleón,5,5,1,6,2,5,3,2,4,7,4,0,7,4,3,4,7,3,9
44148,Mezquita de Jarque,2,0,0,0,2,1,1,0,2,0,0,0,0,0,0,1,1,0,0
44149,Mirambel,2,0,0,1,1,1,1,2,0,3,1,1,0,0,1,0,0,0,1
44150,Miravete de la Sierra,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
44151,Molinos,2,2,1,1,3,2,0,1,2,1,2,2,1,0,3,2,0,5,0
44152,Monforte de Moyuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44153,Monreal del Campo,25,15,37,29,27,25,35,27,28,26,26,20,16,21,20,21,35,29,20
44154,Monroyo,5,3,3,2,4,5,3,3,3,7,2,4,3,1,2,2,0,1,4
44155,Montalbán,7,6,8,10,9,5,8,8,7,18,4,9,8,7,14,9,11,9,10
44156,Monteagudo del Castillo,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
44157,Monterde de Albarracín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44158,Mora de Rubielos,5,17,9,20,14,12,20,14,16,20,11,19,15,10,13,10,15,18,14
44159,Moscardón,0,0,0,0,0,1,0,1,1,5,0,1,3,0,1,0,0,1,0
44160,Mosqueruela,3,6,5,4,7,2,1,7,4,2,3,7,5,9,3,4,2,5,4
44161,Muniesa,7,3,4,7,7,4,4,3,5,5,5,5,3,2,7,7,4,8,6
44163,Noguera de Albarracín,0,0,0,0,2,0,0,2,0,2,3,1,3,0,1,0,0,0,0
44164,Nogueras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
44165,Nogueruelas,0,2,3,0,3,0,3,4,1,2,2,2,1,0,2,0,0,2,2
44167,Obón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44168,Odón,0,1,0,2,1,0,1,1,0,1,0,3,0,1,1,2,0,3,0
44169,Ojos Negros,1,0,2,2,0,2,3,3,5,2,4,8,3,3,2,2,1,3,1
44171,Olba,0,2,1,1,2,2,8,2,3,4,3,1,1,1,2,2,0,2,1
44172,Oliete,6,0,2,0,0,1,1,0,2,1,2,1,1,3,5,0,3,4,1
44173,Olmos Los,0,1,0,2,0,1,2,0,1,0,1,0,1,1,1,1,2,3,0
44174,Orihuela del Tremedal,3,2,2,3,1,2,7,3,2,0,3,4,1,3,4,5,5,3,2
44175,Orrios,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
44176,Palomar de Arroyos,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1
44177,Pancrudo,0,1,1,0,0,0,1,1,0,2,0,1,0,0,0,1,1,0,1
44178,Parras de Castellote Las,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44179,Peñarroya de Tastavins,2,2,2,2,6,6,3,3,4,5,4,3,6,1,2,4,6,3,5
44180,Peracense,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0
44181,Peralejos,0,1,1,0,0,0,0,1,1,2,0,1,1,3,1,0,0,0,2
44182,Perales del Alfambra,0,0,1,0,0,1,1,0,1,1,0,2,0,1,1,2,1,2,2
44183,Pitarque,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,2,0,0
44184,Plou,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
44185,Pobo El,0,2,0,0,0,0,0,3,1,2,0,2,1,1,0,2,0,0,0
44187,Portellada La,1,1,2,3,6,0,5,0,3,3,4,3,0,1,0,0,1,0,0
44189,Pozondón,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44190,Pozuel del Campo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44191,Puebla de Híjar La,1,12,6,2,9,8,7,5,12,10,6,7,10,7,5,12,2,5,5
44192,Puebla de Valverde La,2,5,2,2,3,4,4,4,4,3,3,5,3,7,1,4,3,2,5
44193,Puertomingalvo,2,1,0,2,1,1,1,0,2,2,1,2,1,0,1,2,0,1,2
44194,Ráfales,0,2,2,0,0,3,0,2,0,3,1,0,2,1,0,1,0,0,0
44195,Rillo,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
44196,Riodeva,2,0,0,3,0,0,1,0,1,0,1,2,1,0,0,0,1,2,1
44197,Ródenas,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44198,Royuela,0,0,0,1,2,0,2,2,3,2,1,1,1,1,0,4,3,0,2
44199,Rubiales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
44200,Rubielos de la Cérida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44201,Rubielos de Mora,6,4,4,7,7,3,9,2,6,2,3,6,5,6,5,3,6,10,5
44203,Salcedillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44204,Saldón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44205,Samper de Calanda,5,1,5,2,6,1,5,2,7,6,2,6,8,7,7,5,9,7,7
44206,San Agustín,0,1,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,2,0
44207,San Martín del Río,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,0
44208,Santa Cruz de Nogueras,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44209,Santa Eulalia,5,9,3,7,8,3,10,10,5,4,11,1,4,7,10,6,6,9,8
44210,Sarrión,12,17,17,14,18,17,13,10,16,12,8,10,9,7,11,8,7,12,5
44211,Segura de los Baños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44212,Seno,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44213,Singra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0
44215,Terriente,0,1,0,0,1,0,1,0,1,1,2,1,0,0,0,0,0,1,0
44216,Teruel,287,327,328,369,359,335,386,376,385,355,393,389,363,397,361,361,367,414,351
44217,Toril y Masegoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44218,Tormón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44219,Tornos,2,1,1,3,0,0,1,1,1,1,1,2,2,2,0,1,1,0,0
44220,Torralba de los Sisones,0,0,1,0,1,1,0,0,0,2,2,3,1,1,4,1,0,2,4
44221,Torrecilla de Alcañiz,2,3,4,2,2,0,0,0,1,4,1,1,1,2,3,2,1,4,4
44222,Torrecilla del Rebollar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44223,Torre de Arcas,1,0,0,0,0,0,1,0,1,0,3,0,1,0,0,3,0,1,0
44224,Torre de las Arcas,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
44225,Torre del Compte,1,0,2,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
44226,Torrelacárcel,0,1,1,2,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1
44227,Torre los Negros,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
44228,Torremocha de Jiloca,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0
44229,Torres de Albarracín,3,1,0,0,2,2,1,1,0,1,3,1,2,1,2,2,2,0,1
44230,Torrevelilla,1,2,0,3,1,3,2,2,1,1,0,0,0,1,3,1,1,3,3
44231,Torrijas,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0
44232,Torrijo del Campo,3,1,0,1,4,3,0,2,3,2,2,1,1,1,2,3,2,3,2
44234,Tramacastiel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
44235,Tramacastilla,0,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,1,2,2
44236,Tronchón,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
44237,Urrea de Gaén,0,2,1,0,1,2,3,2,2,3,3,4,0,1,1,3,7,1,3
44238,Utrillas,23,17,16,28,18,33,31,25,35,36,25,21,14,45,27,28,23,31,23
44239,Valacloche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44240,Valbona,0,2,1,0,1,1,0,1,0,0,2,1,1,1,1,0,1,1,1
44241,Valdealgorfa,4,3,2,6,4,3,6,8,4,7,4,2,2,5,2,3,3,8,4
44243,Valdecuenca,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44244,Valdelinares,1,0,1,0,1,0,0,2,1,1,1,0,0,0,2,0,3,2,0
44245,Valdeltormo,1,3,1,3,0,3,2,0,2,1,3,1,3,0,1,1,3,3,1
44246,Valderrobres,23,23,24,31,25,21,30,24,27,23,31,16,31,27,23,20,18,29,20
44247,Valjunquera,2,3,2,3,0,4,1,3,3,1,3,2,2,1,2,0,3,3,7
44249,Vallecillo El,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44250,Veguillas de la Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44251,Villafranca del Campo,0,1,2,1,2,1,2,0,2,3,5,1,2,3,2,0,4,2,4
44252,Villahermosa del Campo,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,0,0,1
44256,Villanueva del Rebollar de la Sierra,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0
44257,Villar del Cobo,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,2,1
44258,Villar del Salz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
44260,Villarluengo,3,0,2,0,4,3,3,0,0,0,0,2,0,1,0,3,1,1,0
44261,Villarquemado,6,8,6,4,4,7,6,3,5,8,7,3,5,10,4,5,10,8,5
44262,Villarroya de los Pinares,1,1,0,1,2,0,2,1,0,1,1,3,1,1,2,1,2,1,1
44263,Villastar,4,8,6,6,9,7,5,4,8,4,5,1,4,2,2,6,3,6,2
44264,Villel,1,1,4,2,4,3,4,1,3,2,2,3,2,2,3,0,1,1,2
44265,Vinaceite,0,2,1,2,2,1,1,2,2,2,1,3,2,2,2,1,3,2,2
44266,Visiedo,2,1,1,0,2,1,0,1,0,1,0,0,1,0,1,0,0,0,1
44267,Vivel del Río Martín,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
44268,Zoma La,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
