cp,municipio,year,population
44001,Ababuj,2020,77
44001,Ababuj,2019,73
44001,Ababuj,2018,76
44001,Ababuj,2017,73
44001,Ababuj,2016,76
44001,Ababuj,2015,73
44001,Ababuj,2014,65
44001,Ababuj,2013,65
44001,Ababuj,2012,73
44001,Ababuj,2011,78
44001,Ababuj,2010,77
44002,Abejuela,2020,50
44002,Abejuela,2019,48
44002,Abejuela,2018,49
44002,Abejuela,2017,50
44002,Abejuela,2016,56
44002,Abejuela,2015,54
44002,Abejuela,2014,41
44002,Abejuela,2013,39
44002,Abejuela,2012,55
44002,Abejuela,2011,66
44002,Abejuela,2010,56
44003,Aguatón,2020,19
44003,Aguatón,2019,18
44003,Aguatón,2018,18
44003,Aguatón,2017,19
44003,Aguatón,2016,19
44003,Aguatón,2015,19
44003,Aguatón,2014,18
44003,Aguatón,2013,19
44003,Aguatón,2012,20
44003,Aguatón,2011,20
44003,Aguatón,2010,21
44004,Aguaviva,2020,516
44004,Aguaviva,2019,514
44004,Aguaviva,2018,522
44004,Aguaviva,2017,531
44004,Aguaviva,2016,550
44004,Aguaviva,2015,586
44004,Aguaviva,2014,605
44004,Aguaviva,2013,654
44004,Aguaviva,2012,660
44004,Aguaviva,2011,693
44004,Aguaviva,2010,693
44005,Aguilar del Alfambra,2020,69
44005,Aguilar del Alfambra,2019,63
44005,Aguilar del Alfambra,2018,63
44005,Aguilar del Alfambra,2017,65
44005,Aguilar del Alfambra,2016,64
44005,Aguilar del Alfambra,2015,66
44005,Aguilar del Alfambra,2014,77
44005,Aguilar del Alfambra,2013,75
44005,Aguilar del Alfambra,2012,73
44005,Aguilar del Alfambra,2011,70
44005,Aguilar del Alfambra,2010,67
44006,Alacón,2020,238
44006,Alacón,2019,252
44006,Alacón,2018,264
44006,Alacón,2017,274
44006,Alacón,2016,279
44006,Alacón,2015,293
44006,Alacón,2014,314
44006,Alacón,2013,306
44006,Alacón,2012,331
44006,Alacón,2011,349
44006,Alacón,2010,361
44007,Alba,2020,165
44007,Alba,2019,170
44007,Alba,2018,178
44007,Alba,2017,185
44007,Alba,2016,196
44007,Alba,2015,210
44007,Alba,2014,212
44007,Alba,2013,215
44007,Alba,2012,231
44007,Alba,2011,230
44007,Alba,2010,248
44008,Albalate del Arzobispo,2020,1972
44008,Albalate del Arzobispo,2019,1980
44008,Albalate del Arzobispo,2018,2004
44008,Albalate del Arzobispo,2017,1978
44008,Albalate del Arzobispo,2016,2003
44008,Albalate del Arzobispo,2015,2001
44008,Albalate del Arzobispo,2014,2025
44008,Albalate del Arzobispo,2013,2049
44008,Albalate del Arzobispo,2012,2087
44008,Albalate del Arzobispo,2011,2115
44008,Albalate del Arzobispo,2010,2155
44009,Albarracín,2020,1006
44009,Albarracín,2019,1025
44009,Albarracín,2018,1016
44009,Albarracín,2017,1044
44009,Albarracín,2016,1054
44009,Albarracín,2015,1049
44009,Albarracín,2014,1059
44009,Albarracín,2013,1093
44009,Albarracín,2012,1102
44009,Albarracín,2011,1096
44009,Albarracín,2010,1096
44010,Albentosa,2020,289
44010,Albentosa,2019,276
44010,Albentosa,2018,257
44010,Albentosa,2017,255
44010,Albentosa,2016,267
44010,Albentosa,2015,270
44010,Albentosa,2014,279
44010,Albentosa,2013,296
44010,Albentosa,2012,290
44010,Albentosa,2011,301
44010,Albentosa,2010,310
44011,Alcaine,2020,53
44011,Alcaine,2019,59
44011,Alcaine,2018,63
44011,Alcaine,2017,62
44011,Alcaine,2016,70
44011,Alcaine,2015,74
44011,Alcaine,2014,72
44011,Alcaine,2013,69
44011,Alcaine,2012,69
44011,Alcaine,2011,67
44011,Alcaine,2010,69
44012,Alcalá de la Selva,2020,331
44012,Alcalá de la Selva,2019,343
44012,Alcalá de la Selva,2018,347
44012,Alcalá de la Selva,2017,369
44012,Alcalá de la Selva,2016,398
44012,Alcalá de la Selva,2015,399
44012,Alcalá de la Selva,2014,424
44012,Alcalá de la Selva,2013,457
44012,Alcalá de la Selva,2012,496
44012,Alcalá de la Selva,2011,516
44012,Alcalá de la Selva,2010,513
44013,Alcañiz,2020,16006
44013,Alcañiz,2019,15947
44013,Alcañiz,2018,15939
44013,Alcañiz,2017,15937
44013,Alcañiz,2016,16043
44013,Alcañiz,2015,16230
44013,Alcañiz,2014,16333
44013,Alcañiz,2013,16384
44013,Alcañiz,2012,16424
44013,Alcañiz,2011,16420
44013,Alcañiz,2010,16291
44014,Alcorisa,2020,3298
44014,Alcorisa,2019,3266
44014,Alcorisa,2018,3276
44014,Alcorisa,2017,3313
44014,Alcorisa,2016,3326
44014,Alcorisa,2015,3374
44014,Alcorisa,2014,3433
44014,Alcorisa,2013,3501
44014,Alcorisa,2012,3556
44014,Alcorisa,2011,3622
44014,Alcorisa,2010,3642
44016,Alfambra,2020,482
44016,Alfambra,2019,508
44016,Alfambra,2018,531
44016,Alfambra,2017,554
44016,Alfambra,2016,568
44016,Alfambra,2015,571
44016,Alfambra,2014,587
44016,Alfambra,2013,584
44016,Alfambra,2012,622
44016,Alfambra,2011,677
44016,Alfambra,2010,676
44017,Aliaga,2020,326
44017,Aliaga,2019,341
44017,Aliaga,2018,358
44017,Aliaga,2017,348
44017,Aliaga,2016,348
44017,Aliaga,2015,365
44017,Aliaga,2014,358
44017,Aliaga,2013,361
44017,Aliaga,2012,366
44017,Aliaga,2011,382
44017,Aliaga,2010,381
44021,Allepuz,2020,124
44021,Allepuz,2019,125
44021,Allepuz,2018,126
44021,Allepuz,2017,129
44021,Allepuz,2016,128
44021,Allepuz,2015,118
44021,Allepuz,2014,117
44021,Allepuz,2013,119
44021,Allepuz,2012,121
44021,Allepuz,2011,129
44021,Allepuz,2010,133
44022,Alloza,2020,572
44022,Alloza,2019,558
44022,Alloza,2018,582
44022,Alloza,2017,594
44022,Alloza,2016,602
44022,Alloza,2015,604
44022,Alloza,2014,638
44022,Alloza,2013,667
44022,Alloza,2012,673
44022,Alloza,2011,701
44022,Alloza,2010,711
44023,Allueva,2020,24
44023,Allueva,2019,26
44023,Allueva,2018,29
44023,Allueva,2017,31
44023,Allueva,2016,29
44023,Allueva,2015,27
44023,Allueva,2014,15
44023,Allueva,2013,15
44023,Allueva,2012,21
44023,Allueva,2011,23
44023,Allueva,2010,15
44018,Almohaja,2020,14
44018,Almohaja,2019,16
44018,Almohaja,2018,16
44018,Almohaja,2017,18
44018,Almohaja,2016,19
