cyear,cp,name,population
1900,22129,Isábena,1246
1900,22130,Jaca,8964
1900,22131,Jasa,467
1900,22133,Labuerda,425
1900,22135,Laluenga,794
1900,22136,Lalueza,867
1900,22137,Lanaja,1839
1900,22139,Laperdiguera,369
1900,22141,Lascellas-Ponzano,996
1900,22142,Lascuarre,581
1900,22143,Laspaúles,1065
1900,22144,Laspuña,501
1900,22149,Loarre,1771
1900,22150,Loporzano,3139
1900,22151,Loscorrales,371
1900,22155,Monesma y Cajigar,513
1900,22156,Monflorite-Lascasas,452
1900,22157,Montanuy,1395
1900,22158,Monzón,5037
1900,22160,Naval,1550
1900,22162,Novales,400
1900,22163,Nueno,1249
1900,22164,Olvena,384
1900,22165,Ontiñena,1862
1900,22167,Osso de Cinca,728
1900,22168,Palo,288
1900,22170,Panticosa,889
1900,22172,Peñalba,1158
1900,22173,Peñas de Riglos (Las),2226
1900,22174,Peralta de Alcofea,2207
1900,22175,Peralta de Calasanz,2404
1900,22176,Peraltilla,439
1900,22177,Perarrúa,689
1900,22178,Pertusa,705
1900,22181,Piracés,242
1900,22182,Plan,1124
1900,22184,Poleñino,512
1900,22186,Pozán de Vero,885
1900,22187,Puebla de Castro (La),887
1900,22188,Puente de Montañana,822
1900,22189,Puértolas,1049
1900,22190,Pueyo de Araguás (El),492
1900,22193,Pueyo de Santa Cruz,420
1900,22195,Quicena,259
1900,22197,Robres,1064
1900,22199,Sabiñánigo,4884
1900,22200,Sahún,871
1900,22201,Salas Altas,998
1900,22202,Salas Bajas,601
1900,22203,Salillas,367
1900,22204,Sallent de Gállego,1420
1900,22205,San Esteban de Litera,1532
1900,22206,Sangarrén,509
1900,22207,San Juan de Plan,361
1900,22208,Santa Cilia,567
1900,22209,Santa Cruz de la Serós,422
1900,22212,Santaliestra y San Quílez,366
1900,22213,Sariñena,4029
1900,22214,Secastilla,850
1900,22215,Seira,311
1900,22217,Sena,1071
1900,22218,Senés de Alcubierre,143
1900,22220,Sesa,881
1900,22221,Sesué,360
1900,22222,Siétamo,1584
1900,22223,Sopeira,889
1900,22225,Tamarite de Litera,3517
1900,22226,Tardienta,1531
1900,22227,Tella-Sin,717
1900,22228,Tierz,310
1900,22229,Tolva,962
1900,22230,Torla-Ordesa,988
1900,22232,Torralba de Aragón,443
1900,22233,Torre la Ribera,362
1900,22234,Torrente de Cinca,1382
1900,22235,Torres de Alcanadre,499
1900,22236,Torres de Barbués,202
1900,22239,Tramaced,111
1900,22242,Valfarta,309
1900,22243,Valle de Bardají,221
1900,22244,Valle de Lierp,212
1900,22245,Velilla de Cinca,1089
1900,22246,Beranuy,651
1900,22247,Viacamp y Litera,820
1900,22248,Vicién,374
1900,22249,Villanova,279
1900,22250,Villanúa,959
1900,22251,Villanueva de Sigena,900
1900,22252,Yebra de Basa,867
1900,22253,Yésero,288
1900,22254,Zaidín,1907
1900,22901,Valle de Hecho,2935
1900,22902,Puente la Reina de Jaca,848
1900,22903,San Miguel del Cinca,1922
1900,22904,Sotonera (La),3972
1900,22905,Lupiñén-Ortilla,1138
1900,22906,Santa María de Dulcis,644
1900,22907,Aínsa-Sobrarbe,3680
1900,22908,Hoz y Costeán,1390
1900,44001,Ababuj,459
1900,44002,Abejuela,698
1900,44003,Aguatón,181
1900,44004,Aguaviva,1781
1900,44005,Aguilar del Alfambra,524
1900,44006,Alacón,931
1900,44007,Alba,634
1900,44008,Albalate del Arzobispo,4291
1900,44009,Albarracín,1932
1900,44010,Albentosa,1003
1900,44011,Alcaine,1103
1900,44012,Alcalá de la Selva,1648
1900,44013,Alcañiz,7699
1900,44014,Alcorisa,3119
1900,44016,Alfambra,1355
1900,44017,Aliaga,1754
1900,44018,Almohaja,243
1900,44019,Alobras,546
1900,44020,Alpeñés,224
1900,44021,Allepuz,1040
1900,44022,Alloza,1773
1900,44023,Allueva,216
1900,44024,Anadón,355
1900,44025,Andorra,2704
1900,44026,Arcos de las Salinas,1353
1900,44027,Arens de Lledó,759
1900,44028,Argente,716
1900,44029,Ariño,1366
1900,44031,Azaila,742
1900,44032,Bádenas,454
1900,44033,Báguena,1420
1900,44034,Bañón,693
1900,44035,Barrachina,697
1900,44036,Bea,170
1900,44037,Beceite,2252
1900,44038,Belmonte de San José,817
1900,44039,Bello,989
1900,44040,Berge,816
1900,44041,Bezas,357
1900,44042,Blancas,859
1900,44043,Blesa,1325
1900,44044,Bordón,586
1900,44045,Bronchales,950
1900,44046,Bueña,352
1900,44047,Burbáguena,1350
1900,44048,Cabra de Mora,563
1900,44049,Calaceite,2579
1900,44050,Calamocha,6017
1900,44051,Calanda,3924
1900,44052,Calomarde,422
1900,44053,Camañas,450
1900,44054,Camarena de la Sierra,882
1900,44055,Camarillas,816
1900,44056,Caminreal,1349
1900,44059,Cantavieja,1962
1900,44060,Cañada de Benatanduz,642
1900,44061,Cañada de Verich (La),287
1900,44062,Cañada Vellida,201
1900,44063,Cañizar del Olivar,507
1900,44064,Cascante del Río,574
1900,44065,Castejón de Tornos,475
1900,44066,Castel de Cabra,623
1900,44067,Castelnou,680
1900,44068,Castelserás,2177
1900,44070,Castellar (El),489
1900,44071,Castellote,5122
1900,44074,Cedrillas,957
1900,44075,Celadas,876
1900,44076,Cella,2567
1900,44077,Cerollera (La),450
1900,44080,Codoñera (La),1342
1900,44082,Corbalán,484
1900,44084,Cortes de Aragón,492
1900,44085,Cosa,385
1900,44086,Cretas,1562
1900,44087,Crivillén,937
1900,44088,Cuba (La),357
1900,44089,Cubla,363
1900,44090,Cucalón,525
1900,44092,Cuervo (El),576
1900,44093,Cuevas de Almudén,243
1900,44094,Cuevas Labradas,401
1900,44096,Ejulve,1291
1900,44097,Escorihuela,493
1900,44099,Escucha,707
1900,44100,Estercuel,964
1900,44101,Ferreruela de Huerva,262
1900,44102,Fonfría,205
1900,44103,Formiche Alto,1029
1900,44105,Fórnoles,742
1900,44106,Fortanete,1570
1900,44107,Foz-Calanda,786
1900,44108,Fresneda (La),1799
1900,44109,Frías de Albarracín,665
1900,44110,Fuenferrada,402
1900,44111,Fuentes Calientes,243
1900,44112,Fuentes Claras,1123
1900,44113,Fuentes de Rubielos,895
1900,44114,Fuentespalda,927
1900,44115,Galve,468
1900,44116,Gargallo,644
1900,44117,Gea de Albarracín,1168
1900,44118,Ginebrosa (La),1116
1900,44119,Griegos,415
1900,44120,Guadalaviar,492
1900,44121,Gúdar,730
1900,44122,Híjar,3330
1900,44123,Hinojosa de Jarque,546
1900,44124,Hoz de la Vieja (La),924
1900,44125,Huesa del Común,1284
1900,44126,Iglesuela del Cid (La),1485
1900,44127,Jabaloyas,934
1900,44128,Jarque de la Val,277
1900,44129,Jatiel,255
1900,44130,Jorcas,462
1900,44131,Josa,615
1900,44132,Lagueruela,252
1900,44133,Lanzuela,243
1900,44135,Libros,607
1900,44136,Lidón,308
1900,44137,Linares de Mora,1592
1900,44138,Loscos,1507
1900,44141,Lledó,580
1900,44142,Maicas,391
1900,44143,Manzanera,2750
1900,44144,Martín del Río,729
1900,44145,Mas de las Matas,1981
1900,44146,Mata de los Olmos (La),458
1900,44147,Mazaleón,1403
1900,44148,Mezquita de Jarque,327
1900,44149,Mirambel,835
1900,44150,Miravete de la Sierra,486
1900,44151,Molinos,1405
1900,44152,Monforte de Moyuela,694
1900,44153,Monreal del Campo,2330
1900,44154,Monroyo,1284
1900,44155,Montalbán,2020
1900,44156,Monteagudo del Castillo,489
1900,44157,Monterde de Albarracín,488
1900,44158,Mora de Rubielos,3213
1900,44159,Moscardón,494
1900,44160,Mosqueruela,3103
1900,44161,Muniesa,1860
1900,44163,Noguera de Albarracín,489
1900,44164,Nogueras,359
1900,44165,Nogueruelas,1156
1900,44167,Obón,1257
1900,44168,Odón,974
1900,44169,Ojos Negros,1436
1900,44171,Olba,1802
1900,44172,Oliete,2146
1900,44173,Olmos (Los),600
1900,44174,Orihuela del Tremedal,945
1900,44175,Orrios,430
1900,44176,Palomar de Arroyos,612
1900,44177,Pancrudo,1000
1900,44178,Parras de Castellote (Las),1107
1900,44179,Peñarroya de Tastavins,1702
1900,44180,Peracense,385
1900,44181,Peralejos,286
1900,44182,Perales del Alfambra,817
1900,44183,Pitarque,938
1900,44184,Plou,529
1900,44185,Pobo (El),497
1900,44187,Portellada (La),860
1900,44189,Pozondón,539
1900,44190,Pozuel del Campo,598
1900,44191,Puebla de Híjar (La),1921
1900,44192,Puebla de Valverde (La),1982
1900,44193,Puertomingalvo,1271
1900,44194,Ráfales,859
1900,44195,Rillo,502
1900,44196,Riodeva,716
1900,44197,Ródenas,415
1900,44198,Royuela,459
1900,44199,Rubiales,290
1900,44200,Rubielos de la Cérida,501
1900,44201,Rubielos de Mora,2284
1900,44203,Salcedillo,155
1900,44204,Saldón,435
1900,44205,Samper de Calanda,2647
1900,44206,San Agustín,1204
1900,44207,San Martín del Río,1330
1900,44208,Santa Cruz de Nogueras,346
1900,44209,Santa Eulalia,1164
1900,44210,Sarrión,2233
1900,44211,Segura de los Baños,795
1900,44212,Seno,453
1900,44213,Singra,399
1900,44215,Terriente,1109
1900,44216,Teruel,12745
1900,44217,Toril y Masegoso,366
1900,44218,Tormón,303
1900,44219,Tornos,578
1900,44220,Torralba de los Sisones,608
1900,44221,Torrecilla de Alcañiz,1105
1900,44222,Torrecilla del Rebollar,891
1900,44223,Torre de Arcas,485
1900,44224,Torre de las Arcas,545
1900,44225,Torre del Compte,748
1900,44226,Torrelacárcel,521
1900,44227,Torre los Negros,456
1900,44228,Torremocha de Jiloca,420
1900,44229,Torres de Albarracín,591
1900,44230,Torrevelilla,776
1900,44231,Torrijas,689
1900,44232,Torrijo del Campo,1308
1900,44234,Tramacastiel,668
1900,44235,Tramacastilla,455
1900,44236,Tronchón,997
1900,44237,Urrea de Gaén,1195
1900,44238,Utrillas,712
1900,44239,Valacloche,219
1900,44240,Valbona,675
1900,44241,Valdealgorfa,1665
1900,44243,Valdecuenca,320
1900,44244,Valdelinares,825
1900,44245,Valdeltormo,699
1900,44246,Valderrobres,3058
1900,44247,Valjunquera,1225
1900,44249,Vallecillo (El),467
1900,44250,Veguillas de la Sierra,292
1900,44251,Villafranca del Campo,988
1900,44252,Villahermosa del Campo,236
1900,44256,Villanueva del Rebollar de la Sierra,309
1900,44257,Villar del Cobo,596
1900,44258,Villar del Salz,412
1900,44260,Villarluengo,2128
1900,44261,Villarquemado,872
1900,44262,Villarroya de los Pinares,1095
1900,44263,Villastar,737
1900,44264,Villel,1182
1900,44265,Vinaceite,544
1900,44266,Visiedo,656
1900,44267,Vivel del Río Martín,946
1900,44268,Zoma (La),181
1900,50001,Abanto,633
1900,50002,Acered,745
1900,50003,Agón,499
1900,50004,Aguarón,2275
1900,50005,Aguilón,982
1900,50006,Ainzón,2061
1900,50007,Aladrén,353
1900,50008,Alagón,3454
1900,50009,Alarba,471
1900,50010,Alberite de San Juan,267
1900,50011,Albeta,318
1900,50012,Alborge,464
1900,50013,Alcalá de Ebro,386
1900,50014,Alcalá de Moncayo,370
1900,50015,Alconchel de Ariza,667
1900,50016,Aldehuela de Liestos,257
1900,50017,Alfajarín,910
1900,50018,Alfamén,628
1900,50019,Alforque,387
1900,50020,Alhama de Aragón,1616
1900,50021,Almochuel,99
1900,50022,Almolda (La),1246
1900,50023,Almonacid de la Cuba,667
1900,50024,Almonacid de la Sierra,2725
1900,50025,Almunia de Doña Godina (La),3922
1900,50026,Alpartir,1042
1900,50027,Ambel,955
1900,50028,Anento,387
1900,50029,Aniñón,1870
1900,50030,Añón de Moncayo,1106
1900,50031,Aranda de Moncayo,1585
1900,50032,Arándiga,1121
1900,50033,Ardisa,484
1900,50034,Ariza,1578
1900,50035,Artieda,269
1900,50036,Asín,336
1900,50037,Atea,1225
1900,50038,Ateca,3126
1900,50039,Azuara,2388
1900,50040,Badules,440
1900,50041,Bagüés,243
1900,50042,Balconchán,178
1900,50043,Bárboles,640
1900,50044,Bardallur,834
1900,50045,Belchite,3333
1900,50046,Belmonte de Gracián,997
1900,50047,Berdejo,363
1900,50048,Berrueco,232
1900,50050,Bijuesca,833
1900,50051,Biota,1383
1900,50052,Bisimbre,291
1900,50053,Boquiñeni,920
1900,50054,Bordalba,520
1900,50055,Borja,5667
1900,50056,Botorrita,351
1900,50057,Brea de Aragón,1467
1900,50058,Bubierca,914
1900,50059,Bujaraloz,1510
1900,50060,Bulbuente,1052
1900,50061,Bureta,685
1900,50062,Burgo de Ebro (El),903
1900,50063,Buste (El),428
1900,50064,Cabañas de Ebro,493
1900,50065,Cabolafuente,474
1900,50066,Cadrete,647
1900,50067,Calatayud,11958
1900,50068,Calatorao,2300
1900,50069,Calcena,854
1900,50070,Calmarza,343
1900,50071,Campillo de Aragón,701
1900,50072,Carenas,1181
1900,50073,Cariñena,3313
1900,50074,Caspe,7808
1900,50075,Castejón de Alarba,294
1900,50076,Castejón de las Armas,750
1900,50077,Castejón de Valdejasa,1095
1900,50078,Castiliscar,823
1900,50079,Cervera de la Cañada,904
1900,50080,Cerveruela,443
1900,50081,Cetina,1312
1900,50082,Cimballa,512
1900,50083,Cinco Olivas,570
1900,50084,Clarés de Ribota,444
1900,50085,Codo,1026
1900,50086,Codos,1122
1900,50087,Contamina,169
1900,50088,Cosuenda,1304
1900,50089,Cuarte de Huerva,275
1900,50090,Cubel,505
1900,50091,Cuerlas (Las),316
1900,50092,Chiprana,1425
1900,50093,Chodes,483
1900,50094,Daroca,3493
1900,50095,Ejea de los Caballeros,5271
1900,50096,Embid de Ariza,498
1900,50098,Encinacorba,1020
1900,50099,Épila,3713
1900,50100,Erla,911
1900,50101,Escatrón,2374
1900,50102,Fabara,2089
1900,50104,Farlete,524
1900,50105,Fayón,1306
1900,50106,Fayos (Los),521
1900,50107,Figueruelas,367
1900,50108,Fombuena,226
1900,50109,Frago (El),561
1900,50110,Frasno (El),1551
1900,50111,Fréscano,505
1900,50113,Fuendejalón,1354
1900,50114,Fuendetodos,540
1900,50115,Fuentes de Ebro,2498
1900,50116,Fuentes de Jiloca,1099
1900,50117,Gallocanta,363
1900,50118,Gallur,2847
1900,50119,Gelsa,2096
1900,50120,Godojos,432
1900,50121,Gotor,874
1900,50122,Grisel,497
1900,50123,Grisén,360
1900,50124,Herrera de los Navarros,1873
1900,50125,Ibdes,1251
1900,50126,Illueca,1823
1900,50128,Isuerre,347
1900,50129,Jaraba,491
1900,50130,Jarque,1472
1900,50131,Jaulín,361
1900,50132,Joyosa (La),264
1900,50133,Lagata,503
1900,50134,Langa del Castillo,599
1900,50135,Layana,343
1900,50136,Lécera,1997
1900,50137,Leciñena,1576
1900,50138,Lechón,157
1900,50139,Letux,1074
1900,50140,Litago,634
1900,50141,Lituénigo,363
1900,50142,Lobera de Onsella,496
1900,50143,Longares,1306
1900,50144,Longás,469
1900,50146,Lucena de Jalón,469
1900,50147,Luceni,796
1900,50148,Luesia,1573
1900,50149,Luesma,331
1900,50150,Lumpiaque,1431
1900,50151,Luna,1761
1900,50152,Maella,3325
1900,50153,Magallón,2822
1900,50154,Mainar,471
1900,50155,Malanquilla,427
1900,50156,Maleján,535
1900,50157,Malón,1230
1900,50159,Maluenda,1400
1900,50160,Mallén,2401
1900,50161,Manchones,672
1900,50162,Mara,706
1900,50163,María de Huerva,581
1900,50164,Mediana de Aragón,1416
1900,50165,Mequinenza,2842
1900,50166,Mesones de Isuela,613
1900,50167,Mezalocha,510
1900,50168,Mianos,221
1900,50169,Miedes de Aragón,916
1900,50170,Monegrillo,824
1900,50171,Moneva,636
1900,50172,Monreal de Ariza,680
1900,50173,Monterde,932
1900,50174,Montón,499
1900,50175,Morata de Jalón,2161
1900,50176,Morata de Jiloca,897
1900,50177,Morés,1168
1900,50178,Moros,1209
1900,50179,Moyuela,952
1900,50180,Mozota,378
1900,50181,Muel,1228
1900,50182,Muela (La),729
1900,50183,Munébrega,1300
1900,50184,Murero,519
1900,50185,Murillo de Gállego,1159
1900,50186,Navardún,413
1900,50187,Nigüella,270
1900,50188,Nombrevilla,262
1900,50189,Nonaspe,1681
1900,50190,Novallas,1527
1900,50191,Novillas,908
1900,50192,Nuévalos,902
1900,50193,Nuez de Ebro,455
1900,50194,Olvés,674
1900,50195,Orcajo,495
1900,50196,Orera,411
1900,50197,Orés,734
1900,50198,Oseja,346
1900,50199,Osera de Ebro,497
1900,50200,Paniza,1820
1900,50201,Paracuellos de Jiloca,712
1900,50202,Paracuellos de la Ribera,908
1900,50203,Pastriz,707
1900,50204,Pedrola,2269
1900,50205,Pedrosas (Las),390
1900,50206,Perdiguera,725
1900,50207,Piedratajada,300
1900,50208,Pina de Ebro,2409
1900,50209,Pinseque,750
1900,50210,Pintanos (Los),773
1900,50211,Plasencia de Jalón,875
1900,50212,Pleitas,154
1900,50213,Plenas,681
1900,50214,Pomer,474
1900,50215,Pozuel de Ariza,287
1900,50216,Pozuelo de Aragón,710
1900,50217,Pradilla de Ebro,688
1900,50218,Puebla de Albortón,631
1900,50219,Puebla de Alfindén (La),985
1900,50220,Puendeluna,228
1900,50221,Purujosa,463
1900,50222,Quinto,2521
1900,50223,Remolinos,1019
1900,50224,Retascón,180
1900,50225,Ricla,2503
1900,50227,Romanos,321
1900,50228,Rueda de Jalón,896
1900,50229,Ruesca,163
1900,50230,Sádaba,1812
1900,50231,Salillas de Jalón,583
1900,50232,Salvatierra de Esca,1196
1900,50233,Samper del Salz,404
1900,50234,San Martín de la Virgen de Moncayo,385
1900,50235,San Mateo de Gállego,960
1900,50236,Santa Cruz de Grío,929
1900,50237,Santa Cruz de Moncayo,318
1900,50238,Santa Eulalia de Gállego,924
1900,50239,Santed,290
1900,50240,Sástago,2987
1900,50241,Saviñán,1759
1900,50242,Sediles,311
1900,50243,Sestrica,1298
1900,50244,Sierra de Luna,651
1900,50245,Sigüés,1638
1900,50246,Sisamón,457
1900,50247,Sobradiel,421
1900,50248,Sos del Rey Católico,3596
1900,50249,Tabuenca,1379
1900,50250,Talamantes,471
1900,50251,Tarazona,8939
1900,50252,Tauste,4530
1900,50253,Terrer,975
1900,50254,Tierga,682
1900,50255,Tobed,1002
1900,50256,Torralba de los Frailes,530
1900,50257,Torralba de Ribota,654
1900,50258,Torralbilla,393
1900,50259,Torrehermosa,258
1900,50260,Torrelapaja,310
1900,50261,Torrellas,860
1900,50262,Torres de Berrellén,1136
1900,50263,Torrijo de la Cañada,2007
1900,50264,Tosos,841
1900,50265,Trasmoz,341
1900,50266,Trasobares,531
1900,50267,Uncastillo,2758
1900,50268,Undués de Lerda,485
1900,50269,Urrea de Jalón,801
1900,50270,Urriés,1111
1900,50271,Used,1432
1900,50272,Utebo,1382
1900,50273,Valdehorna,236
1900,50274,Val de San Martín,345
1900,50275,Valmadrid,202
1900,50276,Valpalmas,415
1900,50277,Valtorres,293
1900,50278,Velilla de Ebro,1027
1900,50279,Velilla de Jiloca,486
1900,50280,Vera de Moncayo,1329
1900,50281,Vierlas,230
1900,50282,Vilueña (La),401
1900,50283,Villadoz,266
1900,50284,Villafeliche,1374
1900,50285,Villafranca de Ebro,663
1900,50286,Villalba de Perejil,266
1900,50287,Villalengua,1384
1900,50288,Villanueva de Gállego,1281
1900,50289,Villanueva de Jiloca,545
1900,50290,Villanueva de Huerva,922
1900,50291,Villar de los Navarros,984
1900,50292,Villarreal de Huerva,469
1900,50293,Villarroya de la Sierra,2405
1900,50294,Villarroya del Campo,229
1900,50295,Vistabella,495
1900,50296,Zaida (La),446
1900,50297,Zaragoza,98397
1900,50298,Zuera,2471
1900,50901,Biel,1659
1900,50902,Marracos,154
1900,50903,Villamayor de Gállego,1894
1910,22001,Abiego,1440
1910,22002,Abizanda,472
1910,22003,Adahuesca,631
1910,22004,Agüero,1253
1910,22006,Aísa,787
1910,22007,Albalate de Cinca,1636
1910,22008,Albalatillo,497
1910,22009,Albelda,1357
1910,22011,Albero Alto,383
1910,22012,Albero Bajo,214
1910,22013,Alberuela de Tubo,219
1910,22014,Alcalá de Gurrea,679
1910,22015,Alcalá del Obispo,1428
1910,22016,Alcampell,2388
1910,22017,Alcolea de Cinca,2504
1910,22018,Alcubierre,1500
1910,22019,Alerre,225
1910,22020,Alfántega,322
1910,22021,Almudévar,3163
1910,22022,Almunia de San Juan,1190
1910,22023,Almuniente,573
1910,22024,Alquézar,1356
1910,22025,Altorricón,621
1910,22027,Angüés,1983
1910,22028,Ansó,1474
1910,22029,Antillón,408
1910,22032,Aragüés del Puerto,542
1910,22035,Arén,2085
1910,22036,Argavieso,324
1910,22037,Arguis,580
1910,22039,Ayerbe,2727
1910,22040,Azanuy-Alins,1243
1910,22041,Azara,490
1910,22042,Azlor,576
1910,22043,Baells,780
1910,22044,Bailo,1533
1910,22045,Baldellou,807
1910,22046,Ballobar,2389
1910,22047,Banastás,116
1910,22048,Barbastro,7417
1910,22049,Barbués,283
1910,22050,Barbuñales,401
1910,22051,Bárcabo,825
1910,22052,Belver de Cinca,1952
1910,22053,Benabarre,2966
1910,22054,Benasque,1331
1910,22055,Berbegal,1150
1910,22057,Bielsa,1035
1910,22058,Bierge,1680
1910,22059,Biescas,3618
1910,22060,Binaced,1925
1910,22061,Binéfar,2109
1910,22062,Bisaurri,892
1910,22063,Biscarrués,822
1910,22064,Blecua y Torres,784
1910,22066,Boltaña,1896
1910,22067,Bonansa,443
1910,22068,Borau,460
1910,22069,Broto,1822
1910,22072,Caldearenas,1512
1910,22074,Campo,828
1910,22075,Camporrells,902
1910,22076,Canal de Berdún,2066
1910,22077,Candasnos,1054
1910,22078,Canfranc,774
1910,22079,Capdesaso,511
1910,22080,Capella,1064
1910,22081,Casbas de Huesca,2155
1910,22082,Castejón del Puente,612
1910,22083,Castejón de Monegros,1575
1910,22084,Castejón de Sos,900
1910,22085,Castelflorite,285
1910,22086,Castiello de Jaca,531
1910,22087,Castigaleu,269
1910,22088,Castillazuelo,781
1910,22089,Castillonroy,887
1910,22090,Colungo,662
1910,22094,Chalamera,475
1910,22095,Chía,444
1910,22096,Chimillas,218
1910,22099,Esplús,747
1910,22102,Estada,514
1910,22103,Estadilla,1668
1910,22105,Estopiñán del Castillo,1443
1910,22106,Fago,372
1910,22107,Fanlo,1084
1910,22109,Fiscal,2495
1910,22110,Fonz,2338
1910,22111,Foradada del Toscar,686
1910,22112,Fraga,7418
1910,22113,Fueva (La),2722
1910,22114,Gistaín,479
1910,22115,Grado (El),1486
1910,22116,Grañén,1478
1910,22117,Graus,6478
1910,22119,Gurrea de Gállego,1642
1910,22122,Hoz de Jaca,159
1910,22124,Huerto,1026
1910,22125,Huesca,13964
1910,22126,Ibieca,402
1910,22127,Igriés,458
1910,22128,Ilche,691
1910,22129,Isábena,1288
1910,22130,Jaca,9172
1910,22131,Jasa,420
1910,22133,Labuerda,455
1910,22135,Laluenga,850
1910,22136,Lalueza,951
1910,22137,Lanaja,2090
1910,22139,Laperdiguera,364
1910,22141,Lascellas-Ponzano,990
1910,22142,Lascuarre,551
1910,22143,Laspaúles,1165
1910,22144,Laspuña,502
1910,22149,Loarre,1788
1910,22150,Loporzano,3181
1910,22151,Loscorrales,393
1910,22155,Monesma y Cajigar,561
1910,22156,Monflorite-Lascasas,491
1910,22157,Montanuy,1457
1910,22158,Monzón,5368
1910,22160,Naval,1439
1910,22162,Novales,459
1910,22163,Nueno,1230
1910,22164,Olvena,342
1910,22165,Ontiñena,1989
1910,22167,Osso de Cinca,812
1910,22168,Palo,311
1910,22170,Panticosa,835
1910,22172,Peñalba,1331
1910,22173,Peñas de Riglos (Las),2633
1910,22174,Peralta de Alcofea,2320
1910,22175,Peralta de Calasanz,2464
1910,22176,Peraltilla,476
1910,22177,Perarrúa,694
1910,22178,Pertusa,623
1910,22181,Piracés,276
1910,22182,Plan,1096
1910,22184,Poleñino,556
1910,22186,Pozán de Vero,914
1910,22187,Puebla de Castro (La),837
1910,22188,Puente de Montañana,809
1910,22189,Puértolas,1060
1910,22190,Pueyo de Araguás (El),493
1910,22193,Pueyo de Santa Cruz,512
1910,22195,Quicena,285
1910,22197,Robres,1030
1910,22199,Sabiñánigo,5063
1910,22200,Sahún,711
1910,22201,Salas Altas,1071
1910,22202,Salas Bajas,588
1910,22203,Salillas,414
1910,22204,Sallent de Gállego,1427
1910,22205,San Esteban de Litera,1806
1910,22206,Sangarrén,532
1910,22207,San Juan de Plan,367
1910,22208,Santa Cilia,606
1910,22209,Santa Cruz de la Serós,412
1910,22212,Santaliestra y San Quílez,379
1910,22213,Sariñena,4424
1910,22214,Secastilla,855
1910,22215,Seira,309
1910,22217,Sena,1161
1910,22218,Senés de Alcubierre,178
1910,22220,Sesa,911
1910,22221,Sesué,385
1910,22222,Siétamo,1627
1910,22223,Sopeira,847
1910,22225,Tamarite de Litera,4156
